studentnummer,naam,email,leeftijd,geslacht,vooropleiding,sector,opleiding,crebocode,cohort,niveau,leerweg,intakedatum,aanwezigheid,voortgang,bsa_studiepunten,cijfer_nederlands,cijfer_rekenen,mentor_naam,mentor_email
20240001,Bjorn Kolen,b.kolen@student.roc.nl,22,M,VMBO-T,Techniek,Installatiemonteur,25480,2024-2025,2,BOL,2024-09-01,0.648,0.565,39,7.1,5.0,Anita Jansen,a.jansen@roc.nl
20240002,Daan van den Assem,d.vandenassem@student.roc.nl,22,V,VMBO-K,Techniek,Elektrotechniek,25160,2024-2025,3,BOL,2024-09-01,0.694,0.649,39,9.2,5.7,Anita Jansen,a.jansen@roc.nl
20240003,Thijn Mulder-de Graaf,t.mulder-degraaf@student.roc.nl,21,M,MBO niveau 2,Economie,Financieel administrateur,90370,2024-2025,4,BOL,2024-09-01,0.537,0.605,36,7.6,6.6,Jan de Vries,j.devries@roc.nl
20240004,Lindsey Honing-Reimes,l.honing-reimes@student.roc.nl,20,V,MBO niveau 2,Groen,Dierverzorger,97730,2024-2025,3,BOL,2024-09-01,0.805,0.76,40,6.9,7.1,Anita Jansen,a.jansen@roc.nl
20240005,Naud Schiffer-der Kijnder,n.schiffer-derkijnder@student.roc.nl,18,M,VMBO-B,Techniek,Elektrotechniek,25160,2024-2025,3,BOL,2024-09-01,0.878,0.78,43,7.4,5.9,Peter Smit,p.smit@roc.nl
20240006,Loes Butselaar,l.butselaar@student.roc.nl,18,V,VMBO-T,Economie,Manager handel,90202,2024-2025,4,BOL,2024-09-01,0.775,0.764,42,4.7,4.3,Jan de Vries,j.devries@roc.nl
20240007,Danique Klomp Jan,d.klompjan@student.roc.nl,21,M,VMBO-B,Zorg,Verpleegkundige,99070,2024-2025,4,BBL,2024-09-01,0.742,0.734,32,7.2,6.6,Anita Jansen,a.jansen@roc.nl
20240008,Ninthe Roukes,n.roukes@student.roc.nl,20,M,VMBO-B,Economie,Commercieel medewerker,90111,2024-2025,3,BBL,2024-09-01,0.774,0.662,39,8.4,4.6,Anita Jansen,a.jansen@roc.nl
20240009,"Maryam Bourgondië, van","m.bourgondië,van@student.roc.nl",18,V,VMBO-B,Dienstverlening,Kok,25185,2024-2025,2,BBL,2024-09-01,0.863,0.873,48,5.8,5.8,Fatima El Amrani,f.elamrani@roc.nl
20240010,Jenna Marchand,j.marchand@student.roc.nl,23,M,VMBO-T,Groen,Medewerker voedsel,97590,2024-2025,2,BOL,2024-09-01,0.713,0.707,37,5.2,4.9,Mohammed Boukhari,m.boukhari@roc.nl
20240011,Faye Meis,f.meis@student.roc.nl,17,M,VMBO-B,Techniek,Elektrotechniek,25160,2024-2025,3,BOL,2024-09-01,0.826,0.772,36,6.9,8.5,Mohammed Boukhari,m.boukhari@roc.nl
20240012,Mila van Olst,m.vanolst@student.roc.nl,20,V,VMBO-B,Groen,Tuin- en landschapsbeheer,97252,2024-2025,3,BBL,2024-09-01,0.627,0.736,49,6.5,5.8,Fatima El Amrani,f.elamrani@roc.nl
