studentnummer,naam,email,leeftijd,geslacht,vooropleiding,sector,opleiding,crebocode,cohort,niveau,leerweg,intakedatum,aanwezigheid,voortgang,bsa_studiepunten,cijfer_nederlands,cijfer_rekenen,mentor_naam,mentor_email,uitgevallen
20220001,Youssef Pauwels,y.pauwels@student.roc.nl,16,V,MBO niveau 2,Zorg,Helpende Zorg & Welzijn,92640,2022-2023,2,BOL,2022-09-01,0.65,0.613,37,7.8,7.9,Jan de Vries,j.devries@roc.nl,False
20220002,Morris Kronenberg,m.kronenberg@student.roc.nl,19,M,HAVO,Techniek,Elektrotechniek,25160,2022-2023,3,BOL,2022-09-01,0.786,0.68,41,6.1,6.2,Anita Jansen,a.jansen@roc.nl,False
20220003,Mathijs van Soest-le Luc,m.vansoest-leluc@student.roc.nl,19,M,VMBO-B,Dienstverlening,Kok,25185,2022-2023,2,BOL,2022-09-01,0.838,0.745,45,6.3,6.2,Mohammed Boukhari,m.boukhari@roc.nl,False
20220004,Pleun Knuf,p.knuf@student.roc.nl,21,M,VMBO-B,Techniek,Installatiemonteur,25480,2022-2023,2,BOL,2022-09-01,0.301,0.435,26,8.3,7.2,Jan de Vries,j.devries@roc.nl,False
20230005,Maud van der Stael de Jonge,m.vanderstaeldejonge@student.roc.nl,19,V,VMBO-T,Groen,Dierverzorger,97730,2023-2024,3,BOL,2023-09-01,0.73,0.577,34,7.7,5.9,Fatima El Amrani,f.elamrani@roc.nl,False
20230006,Sep Berends,s.berends@student.roc.nl,18,V,VMBO-B,Zorg,Doktersassistent,34576,2023-2024,4,BOL,2023-09-01,0.319,0.467,30,9.0,5.8,Peter Smit,p.smit@roc.nl,True
20220007,Annabel van Alenburg,a.vanalenburg@student.roc.nl,16,M,MBO niveau 3,Groen,Tuin- en landschapsbeheer,97252,2022-2023,3,BOL,2022-09-01,0.858,0.826,46,8.6,6.3,Fatima El Amrani,f.elamrani@roc.nl,False
20230008,Louise van de Velde-Spies,l.vandevelde-spies@student.roc.nl,18,V,MBO niveau 3,Economie,Logistiek medewerker,90640,2023-2024,3,BOL,2023-09-01,0.785,0.767,38,6.8,7.9,Jan de Vries,j.devries@roc.nl,False
20230009,Lorenzo van Spreuwel-Dachgeldt,l.vanspreuwel-dachgeldt@student.roc.nl,16,V,VMBO-B,Zorg,Doktersassistent,34576,2023-2024,4,BBL,2023-09-01,0.526,0.583,40,6.0,7.7,Mohammed Boukhari,m.boukhari@roc.nl,False
20230010,Thijmen van de Wiel,t.vandewiel@student.roc.nl,16,V,MBO niveau 2,Economie,Logistiek medewerker,90640,2023-2024,3,BOL,2023-09-01,0.69,0.693,41,6.5,9.4,Jan de Vries,j.devries@roc.nl,False
20230011,Bibi van Beek,b.vanbeek@student.roc.nl,16,M,VMBO-K,Zorg,Doktersassistent,34576,2023-2024,4,BOL,2023-09-01,0.911,0.941,54,6.4,8.1,Peter Smit,p.smit@roc.nl,False
20220012,Silke Bolkesteijn,s.bolkesteijn@student.roc.nl,16,M,MBO niveau 2,Zorg,Helpende Zorg & Welzijn,92640,2022-2023,2,BOL,2022-09-01,0.5,0.569,31,8.9,3.0,Jan de Vries,j.devries@roc.nl,False
20220013,Danique Roukes,d.roukes@student.roc.nl,17,M,VMBO-B,Groen,Dierverzorger,97730,2022-2023,3,BOL,2022-09-01,0.814,0.605,35,6.9,6.2,Fatima El Amrani,f.elamrani@roc.nl,True
